id,value
OCSD.SanClemente.CRIMESAGAINSTPERSONS,
OCSD.SanClemente.CRIMESAGAINSTPERSONS.ANNOYINGORMOLESTINGACHILD,3
OCSD.SanClemente.CRIMESAGAINSTPERSONS.ASSAULTONPOLICEOFFICER,7
OCSD.SanClemente.CRIMESAGAINSTPERSONS.ASSAULTWITHDEADLYWEAPON,56
OCSD.SanClemente.CRIMESAGAINSTPERSONS.Assault/Battery,140
OCSD.SanClemente.CRIMESAGAINSTPERSONS.ATTEMPTEDMURDER,9
OCSD.SanClemente.CRIMESAGAINSTPERSONS.CARJACKINGINPROGRESS,8
OCSD.SanClemente.CRIMESAGAINSTPERSONS.CONCEALEDDIRKORDAGGER,15
OCSD.SanClemente.CRIMESAGAINSTPERSONS.DOMESTICVIOLENCE,281
OCSD.SanClemente.CRIMESAGAINSTPERSONS.ELDERLYABUSE,8
OCSD.SanClemente.CRIMESAGAINSTPERSONS.FALSEIMPRISONMENT,15
OCSD.SanClemente.CRIMESAGAINSTPERSONS.INDECENTEXPOSURE,11
OCSD.SanClemente.CRIMESAGAINSTPERSONS.KIDNAPPING,4
OCSD.SanClemente.CRIMESAGAINSTPERSONS.LEWDCONDUCT-CHILDABUSE,16
OCSD.SanClemente.CRIMESAGAINSTPERSONS.MetalKnuckles,5
OCSD.SanClemente.CRIMESAGAINSTPERSONS.PEEKINGWITHINSTRUMENT,2
OCSD.SanClemente.CRIMESAGAINSTPERSONS.POSSESSIONOFCHILDPORNOGRAPHY,4
OCSD.SanClemente.CRIMESAGAINSTPERSONS.RESISTINGARREST,25
OCSD.SanClemente.CRIMESAGAINSTPERSONS.ROBBERYINPROGRESS,34
OCSD.SanClemente.CRIMESAGAINSTPERSONS.SEXUALASSAULT,190
OCSD.SanClemente.CRIMESAGAINSTPERSONS.SHOOTINGATINHABITEDDWELLINGINPROGRESS,4
OCSD.SanClemente.DISTURBANCE,
OCSD.SanClemente.DISTURBANCE.BEGGINGORSOLICITINGINPUBLIC,4
OCSD.SanClemente.DISTURBANCE.DISTURBANCE,17
OCSD.SanClemente.DISTURBANCE.lewdCONDUCT,3
